Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,544324069,6983.401764948126,4798742,61.56542629815383,845547,6332963,81.24870368639013,9231,0.1184290487294916,1565,
United States of America,Americas,86291417,26069.706,746987,225.674,172826,1007061,304.246,2327,0.703,645
India,South-East Asia,43452164,3148.698,107206,7.769,18819,525116,38.052,175,0.013,39
Brazil,Americas,32206954,15151.977,388127,182.597,76638,670848,315.605,1458,0.686,316
France,Europe,30025809,46165.598,583696,897.45,124724,146121,224.665,250,0.384,48
Germany,Europe,28180861,33884.785,556407,669.026,88572,141105,169.665,75,0.09,5
The United Kingdom,Europe,22697889,33435.3,124062,182.75,14470,180245,265.511,329,0.485,9
Italy,Europe,18438877,30916.192,424675,712.046,95455,168294,282.176,402,0.674,60
Russian Federation,Europe,18430239,12629.121,20588,14.108,3106,381112,261.153,401,0.275,56
Republic of Korea,Western Pacific,18359341,35809.699,53575,104.497,9595,24547,47.879,59,0.115,10
Türkiye,Europe,15123331,17931.584,26635,31.581,0,99032,117.421,17,0.02,0
Spain,Europe,12734038,26903.306,120404,254.379,0,107906,227.974,302,0.638,0
Viet Nam,Western Pacific,10745631,11039.437,6722,6.906,777,43087,44.265,3,0.003,0
Argentina,Americas,9367172,20725.77,25680,56.819,0,129070,285.58,54,0.119,0
Japan,Western Pacific,9283083,7339.771,91985,72.729,0,31246,24.705,169,0.134,0
Netherlands,Europe,8177667,46977.608,35595,204.48,6276,22370,128.507,22,0.126,8
Australia,Western Pacific,8087651,31716.423,204763,802.996,38943,9837,38.577,330,1.294,60
Iran (Islamic Republic of),Eastern Mediterranean,7237597,8616.91,2157,2.568,441,141386,168.331,13,0.015,0
Colombia,Americas,6151354,12089.238,19697,38.71,0,139970,275.083,52,0.102,0
Indonesia,South-East Asia,6088460,2225.936,13635,4.985,2248,156737,57.303,31,0.011,6
Poland,Europe,6014992,15846.383,2703,7.121,588,116424,306.717,19,0.05,0
Mexico,Americas,5986917,4643.442,64375,49.929,20959,325638,252.564,87,0.067,42
Portugal,Europe,5160861,50125.356,68738,667.624,10741,24121,234.278,140,1.36,17
Ukraine,Europe,5018019,11474.017,981,2.243,0,108656,248.449,18,0.041,0
China,Western Pacific,4729442,321.449,294617,20.024,43157,21158,1.438,884,0.06,85
Malaysia,Western Pacific,4563188,14098.709,16137,49.858,2605,35763,110.496,22,0.068,5
Thailand,South-East Asia,4522915,6479.823,15687,22.474,2695,30648,43.908,105,0.15,14
Austria,Europe,4459767,50103.752,63233,710.398,12310,20048,225.232,31,0.348,1
Israel,Europe,4343807,50185.274,73442,848.497,11077,10958,126.601,36,0.416,0
Belgium,Europe,4225222,36669.508,12402,107.633,0,31903,276.877,22,0.191,0
South Africa,Africa,3993004,6732.578,3997,6.739,0,101745,171.552,48,0.081,0
Chile,Americas,3979797,20818.974,64144,335.548,6506,58467,305.851,171,0.895,8
Czechia,Europe,3932745,36775.458,5425,50.73,1156,40316,376.999,4,0.037,0
Canada,Americas,3913975,10370.301,15051,39.878,0,41566,110.131,137,0.363,0
Switzerland,Europe,3741876,43235.6,20494,236.798,0,13315,153.849,9,0.104,0
Philippines,Western Pacific,3703100,3379.324,5307,4.843,781,60542,55.249,58,0.053,11
Greece,Europe,3661004,34155.729,87952,820.558,16115,30218,281.922,94,0.877,12
Peru,Americas,3620801,10981.49,17674,53.603,3172,213483,647.47,78,0.237,8
Denmark,Europe,3169600,54434.639,11670,200.42,2333,6463,110.995,29,0.498,9
Romania,Europe,2915487,15083.612,0,0,0,65726,340.041,0,0,0
Sweden,Europe,2515769,24359.693,637,6.168,0,19093,184.874,0,0,0
Iraq,Eastern Mediterranean,2345893,5832.291,11518,28.636,2628,25239,62.748,10,0.025,2
Serbia,Europe,2028482,29284.949,4593,66.309,876,16125,232.795,7,0.101,0
Bangladesh,South-East Asia,1973785,1198.49,13257,8.05,2183,29149,17.699,14,0.009,4
Hungary,Europe,1928125,19736.116,3042,31.138,0,46647,477.475,21,0.215,0
Slovakia,Europe,1796017,32906.903,2648,48.517,619,20147,369.136,5,0.092,1
Jordan,Eastern Mediterranean,1699197,16653.677,881,8.635,0,14068,137.879,0,0,0
Georgia,Europe,1660429,41623.368,1058,26.522,0,16841,422.167,2,0.05,0
Ireland,Europe,1600614,32241.582,13229,266.475,1995,7499,151.054,34,0.685,5
Pakistan,Eastern Mediterranean,1535144,694.974,2674,1.211,541,30393,13.759,9,0.004,1
Norway,Europe,1446323,26945.532,4421,82.365,616,3337,62.17,57,1.062,0
Singapore,Western Pacific,1434563,24521.011,50611,865.095,9392,1411,24.118,6,0.103,1
Kazakhstan,Europe,1395849,7433.939,568,3.025,140,19018,101.285,0,0,0
New Zealand,Western Pacific,1331157,27604.577,43483,901.719,7629,1466,30.401,86,1.783,17
Morocco,Eastern Mediterranean,1212906,3286.068,20109,54.48,3604,16107,43.638,15,0.041,3
Bulgaria,Europe,1171767,16856.362,2613,37.589,532,37251,535.871,16,0.23,2
Lithuania,Europe,1161146,41557.215,2062,73.799,466,9173,328.3,9,0.322,0
Croatia,Europe,1147380,28273.37,4201,103.52,1197,16060,395.745,21,0.517,1
Finland,Europe,1145610,20733.927,7634,138.165,91,4875,88.231,1,0.018,0
Lebanon,Eastern Mediterranean,1110822,16274.719,5693,83.408,1399,10465,153.323,9,0.132,1
Cuba,Americas,1105989,9764.514,172,1.519,11,8529,75.301,0,0,0
Tunisia,Eastern Mediterranean,1052180,8902.732,5477,46.342,0,28691,242.761,21,0.178,0
Slovenia,Europe,1037714,49512.539,4940,235.703,1054,7823,373.259,0,0,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979694,3362.393,237,0.813,36,11952,41.02,0,0,0
Uruguay,Americas,957629,27567.744,5681,163.542,0,7331,211.041,19,0.547,0
United Arab Emirates,Eastern Mediterranean,944022,9544.829,11955,120.875,1769,2315,23.407,6,0.061,2
Mongolia,Western Pacific,928586,28325.316,0,0,0,2118,64.607,2,0.061,0
Bolivia (Plurinational State of),Americas,923523,7911.602,6892,59.042,1402,21953,188.066,1,0.009,0
Panama,Americas,917912,21273.733,11477,265.994,2855,8347,193.452,18,0.417,0
Ecuador,Americas,906740,5139.36,8073,45.757,319,35720,202.459,25,0.142,0
Costa Rica,Americas,904934,17764.292,0,0,0,8525,167.35,0,0,0
Guatemala,Americas,901300,5030.82,20585,114.9,3838,18516,103.351,102,0.569,12
Latvia,Europe,835152,43778.526,2268,118.888,617,5860,307.18,5,0.262,2
Saudi Arabia,Eastern Mediterranean,794488,2282.102,6194,17.792,759,9207,26.446,13,0.037,2
Azerbaijan,Europe,793224,7823.358,161,1.588,36,9717,95.836,1,0.01,0
Puerto Rico,Americas,768304,26855.766,23885,834.891,3481,4561,159.428,57,1.992,17
Sri Lanka,South-East Asia,664123,3101.458,76,0.355,13,16521,77.153,1,0.005,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,659853,12934.708,1350,26.463,0,5660,110.95,0,0,0
Paraguay,Americas,655532,9190.726,2104,29.499,0,18963,265.866,16,0.224,0
Kuwait,Eastern Mediterranean,643004,15056.628,2147,50.274,0,2555,59.828,0,0,0
Bahrain,Eastern Mediterranean,624269,36687.716,12638,742.724,2008,1492,87.683,0,0,0
Myanmar,South-East Asia,613596,1127.731,64,0.118,13,19434,35.718,0,0,0
Dominican Republic,Americas,604198,5569.718,4729,43.594,0,4383,40.404,0,0,0
Estonia,Europe,580111,43650.976,349,26.261,0,2591,194.962,3,0.226,0
Venezuela (Bolivarian Republic of),Americas,525929,1849.522,824,2.898,102,5730,20.151,5,0.018,0
Republic of Moldova,Europe,520168,12894.714,465,11.527,0,11567,286.74,4,0.099,0
Egypt,Eastern Mediterranean,514088,502.361,41,0.04,0,24723,24.159,1,0.001,0
Cyprus,Europe,504717,56837.18,7263,817.901,0,1072,120.72,2,0.225,0
Libya,Eastern Mediterranean,502138,7307.767,28,0.407,0,6430,93.578,0,0,0
Ethiopia,Africa,486831,423.465,1057,0.919,0,7527,6.547,1,0.001,0
Honduras,Americas,426879,4309.903,389,3.927,0,10905,110.1,1,0.01,0
Armenia,Europe,423243,14283.145,139,4.691,0,8626,291.101,1,0.034,0
Réunion,Africa,422769,47220.299,1500,167.539,0,812,90.695,5,0.558,0
Oman,Eastern Mediterranean,390244,7641.915,0,0,0,4628,90.627,0,0,0
Qatar,Eastern Mediterranean,381976,13258.208,4494,155.985,707,679,23.568,1,0.035,0
Bosnia and Herzegovina,Europe,378630,11540.73,302,9.205,53,15805,481.74,7,0.213,0
Kenya,Africa,332898,619.1,2420,4.501,0,5652,10.511,1,0.002,0
Zambia,Africa,325348,1769.739,1014,5.516,0,4003,21.774,6,0.033,0
Botswana,Africa,320127,13613.001,0,0,0,2726,115.92,0,0,0
North Macedonia,Europe,313856,15064.751,696,33.407,148,9323,447.494,1,0.048,0
Albania,Europe,280298,9740.01,2358,81.938,581,3499,121.586,2,0.069,0
Algeria,Africa,266062,606.74,56,0.128,0,6875,15.678,0,0,0
Luxembourg,Europe,263387,42067.343,4920,785.807,1364,1093,174.571,4,0.639,0
Nigeria,Africa,256958,124.652,247,0.12,0,3144,1.525,0,0,0
Zimbabwe,Africa,255355,1718.067,219,1.473,0,5549,37.335,7,0.047,0
Uzbekistan,Europe,240764,719.36,771,2.304,97,1637,4.891,0,0,0
Montenegro,Europe,239983,38210.081,1174,186.924,217,2728,434.352,5,0.796,3
Mauritius,Africa,231036,18166.521,964,75.8,0,1003,78.867,1,0.079,0
Kosovo[1],Europe,229007,12753.318,444,24.726,177,3130,174.309,0,0,0
Mozambique,Africa,227725,728.593,374,1.197,0,2212,7.077,0,0,0
Lao People's Democratic Republic,Western Pacific,210278,2890.197,57,0.783,20,757,10.405,0,0,0
Kyrgyzstan,Europe,201053,3081.654,29,0.444,29,2991,45.845,0,0,0
Martinique,Americas,195912,52206.308,6953,1852.824,0,965,257.152,8,2.132,0
Iceland,Europe,193987,53273.52,1589,436.378,0,153,42.017,0,0,0
Afghanistan,Eastern Mediterranean,182430,468.63,496,1.274,78,7722,19.836,7,0.018,0
Maldives,South-East Asia,181586,33593.195,315,58.275,0,305,56.425,5,0.925,0
El Salvador,Americas,169646,2615.489,0,0,0,4141,63.843,2,0.031,0
Guadeloupe,Americas,168714,42165.429,2290,572.323,0,955,238.676,5,1.25,0
Trinidad and Tobago,Americas,166900,11925.79,847,60.522,115,4005,286.176,18,1.286,1
Namibia,Africa,166086,6536.49,37,1.456,0,4061,159.825,3,0.118,0
Ghana,Africa,165749,533.419,375,1.207,0,1449,4.663,0,0,0
Uganda,Africa,165607,362.054,0,0,0,3613,7.899,0,0,0
Brunei Darussalam,Western Pacific,163900,37464.655,4864,1111.825,845,166,37.945,0,0,0
Jamaica,Americas,142683,4818.472,810,27.354,57,3124,105.499,18,0.608,3
Cambodia,Western Pacific,136272,815.074,10,0.06,10,3056,18.279,0,0,0
Rwanda,Africa,130897,1010.615,174,1.343,0,1459,11.264,0,0,0
Cameroon,Africa,120068,452.304,0,0,0,1931,7.274,0,0,0
Malta,Europe,102593,19937.85,3477,675.718,570,740,143.811,4,0.777,0
Angola,Africa,101320,308.28,1559,4.743,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,91082,101.698,0,0,0,1371,1.531,0,0,0
French Guiana,Americas,86911,29098.171,1315,440.268,0,401,134.257,1,0.335,0
Malawi,Africa,86410,451.7,123,0.643,0,2645,13.826,0,0,0
Senegal,Africa,86289,515.345,46,0.275,0,1968,11.754,0,0,0
Barbados,Americas,83975,29221.401,880,306.22,155,473,164.593,1,0.348,0
Côte d’Ivoire,Africa,83049,314.839,207,0.785,0,805,3.052,1,0.004,0
Suriname,Americas,80864,13784.451,47,8.012,47,1369,233.366,10,1.705,10
French Polynesia,Western Pacific,73268,26082.561,34,12.104,0,649,231.036,0,0,0
Eswatini,Africa,73069,6298.161,20,1.724,0,1415,121.966,0,0,0
Guyana,Americas,67221,8546.288,633,80.478,107,1251,159.049,3,0.381,0
Fiji,Western Pacific,65558,7313.109,197,21.976,0,865,96.492,0,0,0
Madagascar,Africa,65381,236.109,372,1.343,0,1398,5.049,0,0,0
New Caledonia,Western Pacific,64337,22535.009,822,287.918,0,313,109.633,0,0,0
Belize,Americas,63572,15987.808,1107,278.401,262,679,170.763,0,0,0
Sudan,Eastern Mediterranean,62624,142.817,51,0.116,0,4951,11.291,0,0,0
Cabo Verde,Africa,59976,10787.303,981,176.443,0,404,72.664,1,0.18,0
Bhutan,South-East Asia,59729,7740.848,55,7.128,0,21,2.722,0,0,0
Mauritania,Africa,59324,1275.879,0,0,0,982,21.12,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55926,319.565,8,0.046,1,3150,17.999,0,0,0
Jersey,Europe,52576,48773.609,784,727.3,0,131,121.526,0,0,0
Gabon,Africa,47824,2148.684,0,0,0,305,13.703,0,0,0
Papua New Guinea,Western Pacific,44717,499.797,25,0.279,0,662,7.399,0,0,0
Seychelles,Africa,44669,45419.789,0,0,0,167,169.807,0,0,0
Curaçao,Americas,44545,27146.191,105,63.988,0,278,169.416,0,0,0
Andorra,Europe,43774,56654.371,325,420.63,0,153,198.02,0,0,0
Guam,Western Pacific,43490,25768.034,793,469.856,417,371,219.819,0,0,0
Burundi,Africa,42658,358.748,116,0.976,0,15,0.126,0,0,0
Aruba,Americas,40718,38137.609,539,504.842,0,221,206.995,0,0,0
Mayotte,Africa,37877,13883.767,57,20.893,0,187,68.545,0,0,0
Togo,Africa,37361,451.289,79,0.954,0,275,3.322,2,0.024,0
Guinea,Africa,36817,280.344,0,0,0,442,3.366,0,0,0
Isle of Man,Europe,36463,42881.503,2642,3107.066,0,108,127.011,0,0,0
Bahamas,Americas,35810,9106.305,107,27.21,0,816,207.505,0,0,0
United Republic of Tanzania,Africa,35768,59.879,402,0.673,0,841,1.408,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,33938,1584.223,0,0,0,699,32.629,0,0,0
Haiti,Americas,31550,276.693,249,2.184,0,837,7.34,0,0,0
Mali,Africa,31160,153.87,13,0.064,0,737,3.639,1,0.005,0
Benin,Africa,27216,224.495,94,0.775,0,163,1.345,0,0,0
Cayman Islands,Americas,27171,41343.579,374,569.081,0,28,42.605,0,0,0
Guernsey,Europe,27101,42037.91,560,868.648,0,48,74.456,1,1.551,0
Saint Lucia,Americas,26984,14695.007,168,91.49,14,380,206.941,4,2.178,0
Somalia,Eastern Mediterranean,26803,168.644,55,0.346,0,1361,8.563,0,0,0
Congo,Africa,24128,437.253,0,0,0,385,6.977,0,0,0
Timor-Leste,South-East Asia,22957,1741.218,10,0.758,0,133,10.088,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21044,100.673,0,0,0,387,1.851,0,0,0
United States Virgin Islands,Americas,20878,19993.297,174,166.627,0,118,113,0,0,0
Gibraltar,Europe,19306,57303.137,296,878.573,0,104,308.688,2,5.936,0
Grenada,Americas,18270,16236.681,65,57.766,0,232,206.18,0,0,0
San Marino,Europe,18016,53085.037,341,1004.773,55,115,338.853,0,0,0
Liechtenstein,Europe,17854,46078.406,99,255.504,0,84,216.791,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17722,158.321,23,0.205,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16034,1142.849,72,5.132,0,183,13.044,0,0,0
Bermuda,Americas,15957,25624.267,195,313.137,0,138,221.605,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Samoa,Western Pacific,14906,7512.575,94,47.376,0,29,14.616,1,0.504,0
Dominica,Americas,14852,20630.357,31,43.061,0,68,94.456,1,1.389,0
Nicaragua,Americas,14690,221.751,71,1.072,0,242,3.653,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Monaco,Europe,13006,33141.372,260,662.522,61,58,147.793,1,2.548,0
Tonga,Western Pacific,12301,11638.204,222,210.038,0,12,11.353,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11824,39.643,0,0,0,2149,7.205,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11759,20430.182,190,330.108,0,35,60.809,1,1.737,0
Vanuatu,Western Pacific,11266,3667.974,227,73.906,0,14,4.558,0,0,0
Saint Martin,Americas,10952,28329.755,77,199.177,0,45,116.402,0,0,0
Sint Maarten,Americas,10580,24672.357,72,167.903,0,86,200.55,0,0,0
Eritrea,Africa,9788,275.997,4,0.113,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9051,8158.464,43,38.76,6,112,100.955,1,0.901,1
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Bonaire,Americas,8810,42122.878,71,339.469,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8625,8807.401,35,35.74,0,141,143.982,0,0,0
Guinea-Bissau,Africa,8348,424.187,0,0,0,171,8.689,0,0,0
Comoros,Africa,8139,935.946,2,0.23,0,160,18.399,0,0,0
Sierra Leone,Africa,7694,96.453,1,0.013,0,125,1.567,0,0,0
Liberia,Africa,7497,148.23,0,0,0,294,5.813,0,0,0
Chad,Africa,7425,45.203,1,0.006,0,193,1.175,0,0,0
British Virgin Islands,Americas,6941,22955.32,0,0,0,63,208.354,0,0,0
American Samoa,Western Pacific,6414,11620.197,0,0,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6219,16062.297,8,20.662,8,36,92.98,0,0,0
Sao Tome and Principe,Africa,6043,2757.359,20,9.126,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,6022,11321.251,90,169.198,30,43,80.839,0,0,0
Cook Islands,Western Pacific,5774,32874.061,12,68.322,0,1,5.693,0,0,0
Palau,Western Pacific,5220,28852.532,27,149.237,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4697,47516.439,26,263.025,0,4,40.465,0,0,0
Anguilla,Americas,3456,23036.928,45,299.96,0,9,59.992,0,0,0
Kiribati,Western Pacific,3236,2709.106,21,17.581,0,13,10.883,0,0,0
Nauru,Western Pacific,3174,29296.659,2300,21229.463,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,2767,47748.059,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1815,52110.25,59,1693.942,8,0,0,0,0,0
Montserrat,Americas,1018,20364.073,2,40.008,2,8,160.032,0,0,0
Sint Eustatius,Americas,973,30997.133,13,414.145,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,622,32177.962,1,51.733,0,2,103.466,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,38,33.037,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,0,0,0,0,0,0,0,0
Niue,Western Pacific,15,927.07,5,309.023,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
